gene,B2_S1,B3_S2,B4_S3,B5_S4,D10_S28,D12_S41,D13_S42,D14_S43,D15_S44,D7_S25,D8_S26,D9_S27,E2_S5,E3_S6,E4_S7,E5_S8,F2_S9,F3_S10,F4_S11,F5_S12,G10_S32,G7_S29,G8_S30,G9_S31,H2_S13,H3_S14,H4_S15,H5_S16,I12_S45,I13_S46,I14_S47,I15_S48,J10_S36,J2_S17,J3_S18,J4_S19,J5_S20,J7_S33,J8_S34,J9_S35,L2_S21,L3_S22,L4_S23,L5_S24,M10_S40,M7_S37,M8_S38,M9_S39
SNCA,10468,10896,10698,5552,9442,9859,9959,8102,7928,13781,11852,9670,4423,6923,5202,6817,7750,12778,5491,5933,10955,10452,10018,11395,15711,9225,5743,3889,13265,9593,9887,14603,8819,1563,1035,1944,1520,11307,9153,8643,10487,6608,5509,9194,9640,13571,8550,9263
SOD1,4612,4756,4828,2721,4423,4679,4793,4406,4938,6162,5125,4113,1936,3636,2898,3095,3741,5894,2614,3201,5417,4990,4780,5713,7420,5015,3215,2459,6216,4869,5136,7395,5089,5500,3648,6520,5220,6251,5375,5325,5637,3749,3422,5375,4532,6375,4494,4472
SQSTM1,2605,2900,2535,1539,3065,2716,3068,2519,2958,4422,3736,3092,1252,1906,1409,1788,2166,3615,1463,1627,3534,3597,3635,3786,3527,2958,1768,1410,4324,3283,3251,4601,2869,2980,2389,3150,3481,3819,3029,3057,3562,2660,1703,2996,2875,4183,2859,2967
STX17,740,730,710,381,653,716,629,487,520,838,674,567,308,471,383,450,583,716,342,578,593,569,593,741,885,535,396,241,835,567,650,858,624,727,488,732,595,802,604,695,691,469,414,584,570,735,429,543
TARDBP,7770,8775,7476,4930,7662,7204,7475,7108,6724,10302,9037,7449,3787,6172,4841,6537,6057,8831,4715,5626,8600,7412,8383,8497,12299,7621,5440,3748,9444,7780,7162,9711,8337,9407,6102,10757,8207,9691,8650,8635,8631,6183,5724,8496,6928,9174,6446,6344
TAX1BP1,3101,3081,2866,1497,2830,2830,2933,2713,2566,3911,3458,2932,1164,1823,1455,1977,2289,3714,1500,1631,3342,3170,2946,3566,4414,2847,1666,1124,3963,2798,2923,3986,3052,2972,2145,4023,2907,4015,3232,3439,3086,2127,1792,2947,2689,3444,2380,2495
TBK1,632,593,608,309,587,555,467,483,420,777,637,553,291,424,406,484,480,655,310,408,635,646,645,722,863,564,445,263,743,540,552,631,676,754,521,689,716,813,587,733,769,520,420,604,569,770,577,654
TMEM106B,1461,1685,1870,957,1105,1168,1110,1080,1061,1706,1311,1032,711,1242,921,1176,1395,1498,1005,1163,1341,1173,1211,1428,2299,1448,1073,756,1309,1082,1149,1419,1195,2071,1306,2248,1609,1575,1169,1234,1788,1375,1100,1588,960,1272,859,1018
TMEM175,2919,2476,2409,1398,3114,2699,2984,2801,2357,3189,3301,3044,1217,1906,1638,1888,2458,3061,1707,1839,3492,2545,3137,3254,2091,2084,1566,991,2965,2312,2552,2928,2939,2276,1814,2534,2801,3332,2420,3555,2313,1775,1347,2346,2421,2984,2066,2457
VAPB,3184,3543,2853,1591,3690,3751,4187,3581,3430,4623,4204,3555,1312,2078,1515,1960,2346,4591,1689,1906,4282,4090,3954,4424,4175,3311,2004,1336,5244,3668,3725,5436,3608,3081,2300,3334,3486,4280,3721,3797,3353,2504,1738,2910,3088,4423,3109,2899
VCP,8007,7118,6349,4068,9390,8625,9544,8106,8670,12329,11620,9010,3434,5832,4490,5261,6679,9555,4220,5166,10680,10605,10071,11558,7055,7717,4575,3276,13928,9387,9655,13926,9847,8194,7056,7033,9387,11484,10111,9334,9336,5162,4720,8003,9236,13090,8680,9027
VPS13C,2813,3058,2881,1581,2220,1985,1892,1676,1265,2577,2353,2156,1242,1915,1842,2171,2433,2648,1908,1884,2555,1978,2196,2617,2938,2188,1718,1024,2337,1746,1756,2104,2161,2656,1727,2694,2633,2614,1977,2206,2702,1741,1536,2413,1971,2622,1567,1910
VPS35,5316,5776,4584,2707,7093,6577,7164,5675,6059,10388,8576,6803,1900,3410,2633,3287,4242,6807,2521,3381,1022,871,1409,3024,5317,5283,2978,2093,9297,6320,6568,9776,6509,5176,4510,4730,6625,7621,7229,5912,5309,4353,2891,5452,6380,7539,5731,5435
